PDT000359873.1|SAMN09694013|GCA_003363055.1|Escherichia coli||1-RC-17-04352|Pathogen: environmental/food/other	
PDT000358769.1|SAMEA4030740|GCA_900448175.1|Escherichia coli|O94:H24|NCTC9094|Generic	
PDT000357630.1|SAMEA3376910|GCA_900449345.1|Escherichia coli|O67:motile (H+)|NCTC9067|Generic	
PDT000297982.1|SAMN08637788|GCA_003007795.1|Escherichia coli||B29595|Pathogen: clinical or host-associated	
PDT000346806.1|SAMD00126466|GCA_003301495.1|Escherichia coli||TUM18641|MIGS Cultured Bacterial/Archaeal	
PDT000321340.1|SAMD00115692|GCA_003176195.1|Escherichia coli||TUM1579|MIGS Cultured Bacterial/Archaeal	
PDT000321330.1|SAMD00115668|GCA_003175335.1|Escherichia coli||TUM1138|MIGS Cultured Bacterial/Archaeal	
PDT000151579.1|SAMEA3531745|GCA_900093145.1|Escherichia coli||PB486|Generic	
PDT000151580.1|SAMEA3531867|GCA_900092915.1|Escherichia coli||F1-8-ERB4|Generic	
PDT000069688.1|SAMN03197219|GCA_001060695.1|Shigella boydii||1252_SBOY|Pathogen: clinical or host-associated	
PDT000069687.1|SAMN03197134|GCA_001060475.1|Shigella boydii||1177_SBOY|Pathogen: clinical or host-associated	
PDT000069693.1|SAMN03197102|GCA_001062045.1|Shigella boydii||1146_SBOY|Pathogen: clinical or host-associated	
PDT000148572.1|SAMN05616411|GCA_001722135.1|Shigella sp. FC130||FC130|Pathogen: clinical or host-associated	
PDT000150552.1|SAMN05730134|GCA_001742985.1|Shigella sp. FC1655||FC1655|Pathogen: clinical or host-associated	
PDT000365893.1|SAMN09872939||Escherichia albertii||PNUSAE016564|Pathogen: clinical or host-associated	SRR7731380
PDT000040400.4|SAMN02991238||Escherichia albertii|||Pathogen: clinical or host-associated	SRR2015138
PDT000367213.1|SAMN09910498||Escherichia albertii||PNUSAE017138|Pathogen: clinical or host-associated	SRR7753009
PDT000384193.1|SAMN10112845|GCA_003914095.1|Escherichia albertii||PNUSAE018170|Pathogen: clinical or host-associated	SRR7895409
PDT000384207.1|SAMN10112867||Escherichia albertii||PNUSAE017878|Pathogen: clinical or host-associated	SRR7895423
PDT000322044.1|SAMN09290341||Escherichia albertii|Escherichia albertii|367208|Pathogen: environmental/food/other	SRR7244272
PDT000365887.1|SAMN09872938||Escherichia albertii||PNUSAE016676|Pathogen: clinical or host-associated	SRR7731374
PDT000239353.1|SAMD00026650|GCA_002285455.1|Escherichia albertii||NIAH_Bird_3|MIGS Cultured Bacterial/Archaeal	
PDT000321573.1|SAMN09284688||Escherichia albertii|Escherichia albertii|378483|Pathogen: environmental/food/other	SRR7236585
